Charge Code,Charge Code Description,CPT4 Code, June 2020 Prices 
455782.0,MESH SYN 03,C1781,825.0
455790.0,MESH SYN 04,C1781,1477.81
455808.0,MESH SYN 05,C1781,2331.0
455816.0,MESH SYN 06,C1781,2537.68
455824.0,MESH SYN 07,C1781,2320.0
455832.0,MESH SYN 08,C1781,5008.69
455840.0,MESH SYN 09,C1781,8837.0
455857.0,MESH SYN 10,C1781,6319.0
455865.0,MESH SYN 11,C1781,7875.0
455899.0,MESH SYN 14,C1781,10890.0
456129.0,PCMKR DUAL RR 02,,14400.0
456137.0,PCMKR DUAL RR 03,C1785,14683.0
456145.0,PCMKR DUAL RR 04,C1785,19237.0
456178.0,PCMKR OTHER 02,C2621,8301.0
456202.0,PCMKR OTHER 05,C2621,21599.0
456277.0,PCMKR SNGL RR 02,C1786,14438.0
456285.0,PCMKR SNGL RR 03,C1786,14892.0
456350.0,STENT NON-COR TEMP W/ 02,C2625,710.0
456434.0,STENT NON-COR TEMP W/ 10,C2625,3813.0
456608.0,TISS CONN HUMAN 03,C1762,1866.0
456616.0,TISS CONN HUMAN 04,C1762,2300.0
456624.0,TISS CONN HUMAN 05,C1762,3180.0
456715.0,VALVE CARDIAC 03,L8699,18700.0
456723.0,VALVE CARDIAC 04,L8699,18700.0
456731.0,VALVE CARDIAC 05,L8699,19663.0
456749.0,VALVE CARDIAC 06,L8699,19663.0
456756.0,VALVE CARDIAC 07,L8699,19663.0
456772.0,VALVE CARDIAC RING 03,L8699,8325.0
456780.0,VALVE CARDIAC RING 04,L8699,8325.0
456798.0,VALVE CARDIAC RING 05,L8699,10935.0
456830.0,VALVE CARDIAC BAND 04,L8699,8325.0
456897.0,WASHER/NUT/CAP 03,L8699,703.0
456905.0,WASHER/NUT/CAP 04,L8699,973.0
456939.0,WASHER/NUT/CAP 07,L8699,2624.0
456954.0,ANCHOR/SCREW BONE 07,C1713,2397.0
456996.0,ANCHOR/SCREW BONE 08,C1713,3580.0
457002.0,ANCHOR/SCREW BONE 09,C1713,3888.0
457127.0,AGENT HEMOSTASIS 09,A4649,2496.0
457432.0,TISS CONN HUMAN 08,C1762,5607.0
457440.0,TISS CONN HUMAN 09,C1762,7483.0
457457.0,TISS CONN HUMAN 10,C1762,15194.0
457515.0,LEAD AICD SNGL 12,C1777,10617.0
457564.0,LEAD AICD DUAL 12,C1895,11265.0
457614.0,TISS CONN NON-HUM 01,C1763,1258.0
457622.0,TISS CONN NON-HUM 02,C1763,2125.0
457630.0,TISS CONN NON-HUM 03,C1763,2111.0
457648.0,TISS CONN NON-HUM 04,C1763,3192.0
457671.0,TISS CONN NON-HUM 07,C1763,4407.0
457689.0,TISS CONN NON-HUM 08,C1763,6675.0
457804.0,ANCHOR/SCREW BONE 11,C1713,6300.0
457812.0,ANCHOR/SCREW BONE 12,C1713,7791.0
458083.0,MESH SYN 15,C1781,11925.0
458240.0,STENT RX/COAT PERM W/ 02,C1874,7482.0
458257.0,STENT RX/COAT PERM W/ 03,C1874,9000.0
458265.0,STENT RX/COAT PERM W/ 04,C1874,7785.0
458273.0,STENT RX/COAT PERM W/ 05,C1874,10008.0
458281.0,STENT RX/COAT PERM W/ 06,C1874,11433.0
458349.0,PLATE ORTHO/SPINE 09,L8699,4153.0
458406.0,PLATE ORTHO/SPINE 10,L8699,6765.0
458414.0,PLATE ORTHO/SPINE 11,L8699,7020.0
458422.0,PLATE ORTHO/SPINE 12,L8699,7917.0
458612.0,ROD/NAIL/PIN ORTH/SPINE12,L8699,9124.0
458653.0,ANCHOR/SCREW BONE 13,C1713,5954.0
458661.0,ANCHOR/SCREW BONE 14,C1713,9034.0
458679.0,PORT INDWELLING 07,A4301,2428.0
458703.0,LEAD COR VENOUS 11,C1900,10875.0
458893.0,CAGE/SPACER SPINE 07,L8699,13200.0
458992.0,MESH SYN 17,C1781,14670.0
459081.0,CATH THROMB/EMBOL 10,C1757,6075.0
459321.0,PLATE ORTHO/SPINE 13,L8699,9135.0
459339.0,PLATE ORTHO/SPINE 14,L8699,8148.0
459461.0,CAGE/SPACER SPINE 10,L8699,16939.0
459651.0,BONE HUMAN/SYN 17,L8699,12390.0
459974.0,TISS CONN NON-HUM 12,C1763,9330.0
460055.0,TISS CONN HUMAN 11,C1762,8019.0
460147.0,TISS CONN HUMAN 12,L8699,9068.0
460162.0,TISS CONN NON-HUM 14,C1763,11199.0
460238.0,BONE CEMENT/FILL/PUTTY 11,C1713,8928.0
460378.0,TISS CONN HUMAN 13,Q4100,11100.0
460394.0,TISS CONN HUMAN 15,C1762,20625.0
460618.0,TISS CONN HUMAN 17,C1762,17036.0
461616.0,IMPLANTABLE/INSERTABLE DEVICE NOS,C1889,1509.0
462184.0,AGENT HEMOSTASIS 14,A4649,5494.0
462424.0,VALVE CARDIAC RING 06,L8699,10935.0
462614.0,VALVE CARDIAC 08,L8699,25575.0
462788.0,GUIDEWIRE 01,C1769,237.0
462796.0,GUIDEWIRE 02,C1769,1275.0
462804.0,ANCHOR/SCREW BONE 01,C1713,5455.0
462812.0,ANCHOR/SCREW BONE 02,C1713,603.0
462820.0,DEVICE EXT FIX 01,L8699,131.0
462838.0,DEVICE EXT FIX 02,L8699,450.0
462911.0,PLATE ORTHO/SPINE 02,L8699,418.0
462960.0,WASHER/NUT/CAP 01,L8699,131.0
462978.0,WASHER/NUT/CAP 02,L8699,242.0
463018.0,IMP JOINT COMPONENT 01,C1776,4612.5
463026.0,IMP JOINT COMPONENT 02,C1776,1109.25
463034.0,IMP JOINT COMPONENT 03,C1776,3938.0
463042.0,IMP JOINT COMPONENT 04,C1776,4612.5
463059.0,IMP JOINT COMPONENT 05,C1776,13617.0
463067.0,IMP JOINT COMPONENT 06,C1776,8449.0
463075.0,IMP JOINT COMPONENT 07,C1776,8235.0
463083.0,IMP JOINT COMPONENT 08,C1776,8362.5
463091.0,IMP JOINT COMPONENT 09,C1776,9468.75
463109.0,IMP JOINT COMPONENT 10,C1776,10950.0
463117.0,IMP JOINT COMPONENT 11,C1776,12202.57
463125.0,IMP JOINT COMPONENT 12,C1776,15499.0
463133.0,IMP JOINT COMPONENT 13,C1776,16648.5
463141.0,IMP JOINT COMPONENT 14,C1776,17271.66
463158.0,IMP JOINT COMPONENT 15,C1776,21962.0
463166.0,IMP JOINT COMPONENT 16,C1776,19283.0
463174.0,IMP JOINT COMPONENT 17,C1776,17396.5
463182.0,IMP JOINT COMPONENT 18,C1776,18519.6
463190.0,IMP JOINT COMPONENT 19,C1776,19800.0
463208.0,IMP JOINT COMPONENT 20,C1776,15216.01
463216.0,IMP JOINT COMPONENT 21,C1776,21082.77
463224.0,IMP JOINT COMPONENT 22,C1776,17875.0
463240.0,IMP JOINT COMPONENT 24,C1776,22663.0
463836.0,CATH THROMB/EMBOL 02,Z7610,410.0
463844.0,CATH THROMB/EMBOL 03,C1757,506.0
464008.0,STENT NON-COAT PERM W/ 02,C1876,3500.0
464016.0,STENT NON-COAT PERM W/ 03,C1876,3400.0
464024.0,STENT NON-COAT PERM W/ 04,C1876,6731.25
464149.0,IMP EMBOL COIL/SPH/PRT 02,L8699,423.0
464289.0,STENT RX/COAT PERM W/ 10,C1874,17207.0
464438.0,CATH GUIDING 02,C1887,445.0
464487.0,CATH GUIDING 07,C1887,1913.0
464503.0,CATH GUIDING 09,C1887,2600.0
464727.0,BONE HUMAN/SYN 03,L8699,1233.0
465146.0,CATH BLN DI NON-VASC 02,C1726,1148.0
465260.0,CATH INFUS NON-HEMO 06,C1751,2300.0
465385.0,CATH HEMO LONG TERM 04,C1750,1214.0
465393.0,CATH HEMO LONG TERM 05,C1750,1424.0
465419.0,CATH HEMO LONG TERM 07,99070,2000.0
465443.0,RESTRICTOR CEMENT 01,L8699,415.8
465450.0,RESTRICTOR CEMENT 02,L8699,432.0
465468.0,RESTRICTOR CEMENT 03,L8699,507.0
465583.0,STENT GRAFT PERM 06,L8699,9300.0
465591.0,STENT GRAFT PERM 07,L8699,13497.0
465609.0,STENT GRAFT PERM 08,L8699,24750.0
465617.0,STENT GRAFT PERM 09,L8699,14997.0
465625.0,STENT GRAFT PERM 10,L8699,14997.0
465633.0,STENT GRAFT PERM 11,L8699,15136.0
465641.0,STENT GRAFT PERM 12,L8699,15136.0
465658.0,STENT GRAFT PERM 13,L8699,23705.0
465666.0,STENT GRAFT PERM 14,L8699,23719.0
465674.0,STENT GRAFT PERM 15,L8699,27431.25
465682.0,STENT GRAFT PERM 16,L8699,31000.0
465690.0,STENT GRAFT PERM 17,L8699,34998.0
465708.0,STENT GRAFT PERM 18,L8699,36539.0
465716.0,STENT GRAFT PERM 19,L8699,33532.0
465781.0,INTRO/SHEATH NON-LASER 01,C1894,209.0
465799.0,INTRO/SHEATH NON-LASER 02,C1894,294.0
465807.0,INTRO/SHEATH NON-LASER 03,C1894,506.0
465815.0,INTRO/SHEATH NON-LASER 04,C1894,850.0
465831.0,INTRO/SHEATH NON-LASER 06,C1894,2020.0
465849.0,INTRO/SHEATH NON-LASER 07,C1894,2436.0
465989.0,MESH SYN 22,C1781,22275.0
466003.0,MESH SYN 24,C1781,30000.0
466060.0,CATH TRN ANG RX COATED NON LAS,C2623,4782.0
466078.0,CATH TRN ANG RX COATED NON LAS,C2623,6413.0
466110.0,LEAD AICD OTHER 17,C1896,12000.0
466151.0,DEVICE VENTRICULAR ASSIST 03,L8699,50000.0
466433.0,CATH TRN ANG RX COATED NON LASER 06,C2623,4782.0
466524.0,IMP NASAL,L8699,3980.0
466532.0,INTRO/SHEATH NON-LASER 08,C1894,2020.0
550012.0,ADAPT/EXT LEAD 01,C1883,1593.75
550020.0,AGENT HEMOSTASIS 01,A4649,180.0
550038.0,AICD DUAL 01,C1721,35000.0
550053.0,AICD SNGL 01,C1722,33125.0
550079.0,BARRIER ADHESION,C1765,1457.0
550137.0,BUTTON NASAL SEPTAL,A4649,1080.0
550160.0,CAGE/SPACER SPINE 01,L8699,6750.0
550236.0,CATH PERC DRAINAGE,C1729,3571.0
550335.0,CATH HEMO SHORT TERM,C1725,510.0
550368.0,CATH INTRASPINE,C1755,3980.0
550376.0,CATH INTRAVASC US,C1753,3884.07
550384.0,CATH OCCLUSION,C2628,2087.0
550418.0,CATH SUPRAPUBIC/CYSTO,C2627,205.0
550442.0,CATH TRN ANG OTH 01,C1725,638.0
550483.0,BONE CEMENT/FILL/PUTTY 01,C1713,293.0
550608.0,DEVICE URI/PELV WO SL 0,C2631,2297.0
550624.0,DEVICE VASC CLOSURE IMPL,C1760,5075.0
550657.0,ADAPT/EXT LEAD 02,C1883,2780.0
550665.0,ADAPT/EXT LEAD 03,C1883,3980.0
550798.0,FILTER VENA CAVA/FEM/JUG,C1880,4287.0
550855.0,GRAFT VASC SYN 01,L8670,166.0
550921.0,IMP BREAST PROSTH 02,L8600,3900.0
551028.0,IMP EAR PROSTH 02,L8699,401.0
551127.0,IMP URINARY SPHINCTER 0,C1815,12600.0
551143.0,INTRO/SHEATH GD NON-PEEL,C1893,2697.0
551150.0,INTRO/SHEATH GD PEEL,C1892,195.0
551192.0,INTRO/SHEATH STEERABLE,C1766,2300.0
551325.0,MATERIAL VOC CORD MED,C1878,2500.0
551523.0,PCMKR DUAL RR 01,C1785,8076.0
551531.0,PCMKR OTHER 01,C2621,8515.0
551556.0,PCMKR SNGL RR 01,C1786,13200.0
551564.0,ANCHOR/SCREW BONE 03,C1713,5013.0
551572.0,ANCHOR/SCREW BONE 04,C1713,1942.25
551788.0,ROD/NAIL/PIN ORTH/SPINE03,L8699,5520.0
551796.0,ROD/NAIL/PIN ORTHO/SPINE04,L8699,1457.75
551804.0,ROD/NAIL/PIN ORTH/SPINE05,L8699,2086.75
551812.0,ROD/NAIL/PIN ORTHO/SPINE06,L8699,908.0
551820.0,ROD/NAIL/PIN ORTHO/SPINE07,L8699,5210.0
551838.0,ROD/NAIL/PIN ORTHO/SPINE08,L8699,5520.0
551846.0,ROD/NAIL/PIN ORTH/SPINE09,L8699,6281.25
551853.0,ROD/NAIL/PIN ORTHO/SPINE10,L8699,6870.0
551861.0,ROD/NAIL/PIN ORTH/SPINE11,L8699,5857.0
551945.0,PLATE ORTHO/SPINE 03,L8699,1485.0
551952.0,PLATE ORTHO/SPINE 04,L8699,2016.0
551978.0,PLATE ORTHO/SPINE 06,L8699,3436.0
551986.0,PLATE ORTHO/SPINE 07,L8699,5681.0
551994.0,PLATE ORTHO/SPINE 08,L8699,3960.0
552000.0,PORT INDWELLING 02,A4301,1042.0
552018.0,PORT INDWELLING 03,A4301,1271.0
552117.0,PUMP INFUS PROG,C1772,26950.0
552125.0,RECORDER CARDIAC EVENT,E0616,14561.25
552323.0,IMP SEALANT LQ 01,A4649,713.0
552331.0,IMP SEALANT PULMONARY LQ,C2615,3700.0
552364.0,IMP SEALANT LQ 04,A4649,1751.0
552455.0,STENT NON-COR TEMP W/ 01,C2625,828.0
552463.0,STENT NON-COR TEMP WO 01,C2617,488.75
552471.0,PROG PT NEUROSTM,C1787,4463.0
552596.0,PLATE ORTHO/SPINE 05,L8699,3004.0
552794.0,AGENT HEMOSTASIS 02,A4649,446.0
552802.0,AGENT HEMOSTASIS 03,A4649,689.06
552810.0,AICD DUAL 02,C1721,48200.0
552828.0,AICD DUAL 03,C1721,42900.0
552844.0,AICD OTHER 02,C1882,43720.0
552851.0,AICD OTHER 03,C1882,49184.0
552869.0,AICD OTHER 04,C1882,51620.0
552877.0,AICD SNGL 02,C1722,35750.0
552885.0,AICD SNGL 03,C1722,35000.0
552901.0,ANCHOR/SCREW BONE 05,C1713,2016.0
552919.0,ANCHOR/SCREW BONE 06,C1713,4012.5
552927.0,BOLT ORTHO/SPINE 02,L8699,795.0
552943.0,BOLT ORTHO/SPINE 04,L8699,1678.75
552992.0,BOLT ORTHO/SPINE 06,L8699,1679.0
553032.0,BONE HUMAN/SYN 06,L8699,2128.0
553040.0,BONE HUMAN/SYN 07,L8699,2128.0
553081.0,BONE HUMAN/SYN 11,L8699,6285.0
553107.0,BONE HUMAN/SYN 13,L8699,8444.0
553222.0,CABLE ORTHO/SPINE 02,L8699,2022.0
553230.0,CABLE ORTHO/SPINE 03,L8699,2739.2
553305.0,CAGE/SPACER SPINE 02,L8699,6750.0
553321.0,CAGE/SPACER SPINE 04,L8699,12600.0
553339.0,CAGE/SPACER SPINE 05,L8699,12600.0
553453.0,CATH TRN ANG OTH 02,C1725,850.0
553461.0,CATH TRN ANG OTH 03,C1725,1551.0
553479.0,CATH TRN ANG OTH 04,C1725,1615.0
553487.0,CATH TRN ANG OTH 05,C1725,2104.0
553495.0,CATH TRN ANG OTH 06,C1725,1148.0
553602.0,BONE CEMENT/FILL/PUTTY 02,C1713,956.25
553610.0,BONE CEMENT/FILL/PUTTY 03,C1713,759.0
553628.0,BONE CEMENT/FILL/PUTTY 04,C1713,1492.0
553636.0,BONE CEMENT/FILL/PUTTY 05,C1713,2800.0
553644.0,BONE CEMENT/FILL/PUTTY 06,C1713,4677.0
553651.0,BONE CEMENT/FILL/PUTTY 07,C1713,6825.0
553669.0,BONE CEMENT/FILL/PUTTY 08,C1713,10800.0
553677.0,BONE CEMENT/FILL/PUTTY 09,C1713,9585.0
553800.0,IMP CLIP CARDIAC/NEURO 04,L8699,1148.0
553883.0,CONNECTOR SPINE 02,L8699,2062.0
553891.0,CONNECTOR SPINE 03,L8699,4204.0
553909.0,CONNECTOR SPINE 04,L8699,2062.0
553917.0,CONNECTOR SPINE 05,L8699,4204.0
553925.0,CONNECTOR SPINE 06,L8699,6007.5
553958.0,DEVICE EXT FIX 03,L8699,914.0
553966.0,DEVICE EXT FIX 04,L8699,1256.0
553974.0,DEVICE EXT FIX 04,L8699,1167.0
553982.0,DEVICE EXT FIX 06,L8699,1991.0
553990.0,DEVICE EXT FIX 07,L8699,3131.0
554006.0,DEVICE EXT FIX 08,L8699,3456.0
554014.0,DEVICE EXT FIX 09,L8699,5003.0
554022.0,DEVICE EXT FIX 10,L8699,5625.0
554030.0,DEVICE EXT FIX 11,L8699,4382.0
554048.0,DEVICE EXT FIX 12,L8699,4313.0
554071.0,GEN NEUROSTM NON 03,C1767,36988.0
